Instructions,Responses
Qual é a equivalência entre trancamento total e trancamento de disciplinas?,Um semestre de trancamento total é considerado equivalente ao trancamento do número de disciplinas correspondente ao primeiro período do respectivo curso.
O aluno pode solicitar trancamento de matrícula a qualquer momento?,"Não, a solicitação de trancamento de matrícula deve ocorrer dentro dos períodos fixados semestralmente no calendário acadêmico."
O que deve ser feito se um aluno tiver dúvidas sobre o trancamento de matrícula?,Os casos omissos serão resolvidos no âmbito da Câmara de Ensino de Graduação.
Quem é responsável pela aprovação do calendário acadêmico que inclui trancamentos?,"O calendário acadêmico, que inclui os períodos de trancamento, é aprovado pelo Conselho de Ensino, Pesquisa e Extensão."
A resolução sobre trancamento de matrícula tem data de aprovação?,"Sim, a Resolução 011/2007 foi aprovada em 18 de abril de 2007."
Qual é a função do Pró-Reitor de Ensino de Graduação em relação ao trancamento de matrícula?,O Pró-Reitor de Ensino de Graduação é responsável por editar a Instrução Normativa que prevê os procedimentos operacionais de trancamento de matrícula.
O que é o ENADE?,"O Exame Nacional de Desempenho dos Estudantes (ENADE) é um componente curricular obrigatório, definido no art. 5°, § 5° da Lei n° 10.861, de 14 de abril de 2004."
Qual a importância do ENADE para os alunos da UFAM?,"O ENADE é importante porque avalia o desempenho dos estudantes e é um componente obrigatório para a conclusão do curso, garantindo que os alunos estejam cientes da sua performance acadêmica."
Como o ENADE é inserido nas matrizes curriculares da UFAM?,"O ENADE é inserido como disciplina obrigatória em todas as matrizes curriculares, sem crédito e sem carga horária."
Qual é o procedimento para o registro da participação no ENADE no histórico escolar?,"O registro da participação no ENADE será feito pela Divisão de Registro e Controle - PROEG, com as menções 'PARTICIPANTE', 'DISPENSADO' ou 'IRREGULAR', baseadas nos relatórios do INEP."
O que significa a menção 'PARTICIPANTE' no histórico escolar?,A menção 'PARTICIPANTE' é dada ao aluno que se inscreveu e foi selecionado para realizar o ENADE.
Como um aluno pode receber a menção 'DISPENSADO'?,"Um aluno receberá a menção 'DISPENSADO' se foi inscrito no ENADE, mas não selecionado pelo INEP, ou se não se enquadrava na amostra definida pelo INEP no período de avaliação do curso."
Qual a penalidade para alunos que não se submeterem ao ENADE?,"Os alunos que não se submeterem ao ENADE, quando obrigados a fazê-lo, receberão a menção 'IRREGULAR' no histórico escolar."
Quais são os requisitos para um aluno colar grau na UFAM?,"Para colar grau, o aluno deve ter concluído todos os créditos e carga horária do curso, além de ter participado ou sido dispensado do ENADE."
Quando a resolução que insere o ENADE nas matrizes curriculares da UFAM foi aprovada?,A resolução foi aprovada em 06 de julho de 2010.
Quem é responsável pela implementação do ENADE na UFAM?,A implementação do ENADE na UFAM é responsabilidade da PRO-REITORIA DE ENSINO DE GRADUAÇÃO e da CÂMARA DE ENSINO DE GRADUAÇÃO.
Quais são as implicações da menção 'IRREGULAR'?,"A menção 'IRREGULAR' implica que o aluno não cumpriu a obrigatoriedade de participação no ENADE e, portanto, pode ser impedido de colar grau."
Qual é a carga horária atribuída ao ENADE?,"O ENADE não possui carga horária atribuída, pois é considerado um componente curricular obrigatório sem carga horária."
Como os alunos são informados sobre a obrigatoriedade do ENADE?,Os alunos são informados institucionalmente sobre a obrigatoriedade do ENADE através da resolução e outros canais de comunicação da universidade.
A menção 'DISPENSADO' pode ser atribuída a alunos que não participaram do ENADE?,"Não, a menção 'DISPENSADO' é atribuída a alunos que foram inscritos, mas não selecionados ou que não se enquadravam na amostra para avaliação."
Existem consequências acadêmicas para um aluno que recebe a menção 'IRREGULAR'?,"Sim, um aluno com a menção 'IRREGULAR' não poderá colar grau, pois não atendeu à obrigatoriedade do ENADE."
O que acontece se um aluno não estiver inscrito para o ENADE?,"Se um aluno não estiver inscrito para o ENADE e for obrigado a participar, ele receberá a menção 'IRREGULAR'."
Como a UFAM garante que os alunos participem do ENADE?,A UFAM garante a participação dos alunos no ENADE através da inclusão como componente curricular obrigatório nas matrizes curriculares.
Qual é o papel do INEP no processo do ENADE?,O INEP é responsável pela seleção dos alunos para participação no ENADE e pela produção de relatórios sobre o desempenho dos estudantes.
Os alunos são responsáveis por se inscrever no ENADE?,"Sim, os alunos devem se inscrever no ENADE dentro do prazo estipulado para serem considerados para a avaliação."
O que é o Programa de Mobilidade Estudantil (PROMES)?,"O Programa de Mobilidade Estudantil (PROMES) permite que alunos de Instituições Federais de Ensino Superior (IFES) realizem temporariamente disciplinas de seu curso de graduação em outra IFES, mantendo seu vínculo com a instituição de origem."
Quem coordena o PROMES na Universidade Federal do Amazonas?,"Na Universidade Federal do Amazonas (UFAM), o PROMES é coordenado pelas Coordenadorias dos cursos de graduação, pelo Departamento de Registro Acadêmico (DRA/PROEG) e pelo Departamento de Relações Interinstitucionais (DRI/PROPESP)."
Quem é considerado Aluno Visitante?,"Um Aluno Visitante é aquele que, mantendo seu vínculo com a instituição de origem, participa do PROMES com a autorização de ambas as instituições envolvidas."
Qual é o limite de disciplinas que um Aluno Visitante pode cursar?,"Um Aluno Visitante pode cursar até 8 (oito) disciplinas, respeitando os prazos limites fixados na legislação."
Quais são os requisitos para se candidatar ao PROMES?,"Para se candidatar ao PROMES, o aluno deve ter concluído todas as disciplinas do primeiro ano letivo com aprovação, não ter mais de uma reprovação por período letivo, apresentar um coeficiente de rendimento acadêmico igual ou superior a 5,0 e estar matriculado em disciplinas no semestre da solicitação."
Quais documentos são necessários para um aluno de outra IFES se inscrever no PROMES?,"Um aluno de outra IFES deve apresentar uma carta de apresentação assinada pela autoridade competente da instituição de origem, um histórico escolar atualizado e um plano de estudos previamente aprovado pelo colegiado do curso de origem."
Quais documentos são necessários para alunos da UFAM se inscreverem no PROMES?,"Os alunos da UFAM precisam apresentar um requerimento à coordenação de seu curso, com cópia ao DRI/PROPESP, informando as disciplinas e a IFES onde desejam cursá-las, além de um histórico escolar atualizado e confirmação de matrícula do semestre em curso."
Qual é a competência do Departamento de Registro Acadêmico (PROEG) em relação ao PROMES?,O DRA/PROEG é responsável por verificar a possibilidade de matrícula nas disciplinas pretendidas pelo aluno e emitir um histórico escolar comprobatório ao final da permanência do aluno com vínculo temporário.
Qual é a responsabilidade do Departamento de Relações Interinstitucionais (PROPESP) no PROMES?,"O PROPESP deve comunicar formalmente a instituição remetente sobre o aceite do aluno, monitorar o prazo de afastamento e comunicar a instituição de origem sobre a matrícula do estudante no PROMES."
O que acontece se o número de inscrições para o PROMES for maior que o número de vagas?,"Se o número de inscrições for maior que o número de vagas disponíveis, serão selecionados os candidatos com melhor rendimento acadêmico."
Quais direitos um aluno participante do PROMES possui?,"O aluno participante do PROMES tem direito de acesso ao acervo da biblioteca, ao restaurante universitário e pode usufruir das dependências do centro esportivo universitário, além de participar de atividades culturais e de lazer."
